State,School district,LEAID,"Total number of grade 8 students",Number of grade 8 students enrolled in Algebra I,Percentage of grade 8 students enrolled in Algebra I 
AL,ALBERTVILLE CITY,0100005,333,80,24.02402402
AL,MARSHALL COUNTY,0100006,434,114,26.26728111
AL,HOOVER CITY,0100007,1045,427,40.86124402
AL,MADISON CITY,0100008,784,361,46.04591837
AL,LEEDS CITY,0100011,137,33,24.08759124
AL,BOAZ CITY,0100012,156,36,23.07692308
AL,TRUSSVILLE CITY,0100013,351,158,45.01424501
AL,ALEXANDER CITY,0100030,224,50,22.32142857
AL,ANDALUSIA CITY,0100060,117,0,0
AL,ANNISTON CITY,0100090,131,22,16.79389313
AL,ARAB CITY,0100100,193,62,32.12435233
AL,ATHENS CITY,0100120,308,60,19.48051948
AL,ATTALLA CITY,0100180,174,46,26.43678161
AL,SARALAND CITY,0100185,255,0,0
AL,AUBURN CITY,0100210,619,183,29.5638126
AL,AUTAUGA COUNTY,0100240,786,213,27.09923664
AL,BALDWIN COUNTY,0100270,2305,729,31.62689805
AL,BARBOUR COUNTY,0100300,63,0,0
AL,BESSEMER CITY,0100330,288,29,10.06944444
AL,BIBB COUNTY,0100360,106,27,25.47169811
AL,BIRMINGHAM CITY,0100390,1375,502,36.50909091
AL,BLOUNT COUNTY,0100420,618,0,0
AL,BREWTON CITY,0100450,104,0,0
AL,BULLOCK COUNTY,0100480,85,0,0
AL,BUTLER COUNTY,0100510,230,49,21.30434783
AL,CALHOUN COUNTY,0100540,719,175,24.33936022
AL,CHAMBERS COUNTY,0100600,294,49,16.66666667
AL,CHEROKEE COUNTY,0100630,329,41,12.46200608
AL,CHILTON COUNTY,0100660,625,104,16.64
AL,CHOCTAW COUNTY BOARD OF EDUCATION,0100690,115,0,0
AL,CLARKE COUNTY,0100720,193,18,9.32642487
AL,CLAY COUNTY,0100750,146,41,28.08219178
AL,CLEBURNE COUNTY,0100780,186,23,12.3655914
AL,COFFEE COUNTY,0100810,154,7,4.545454545
AL,COLBERT COUNTY,0100840,194,42,21.64948454
AL,CONECUH COUNTY,0100870,113,0,0
AL,COOSA COUNTY,0100900,86,26,30.23255814
AL,COVINGTON COUNTY,0100930,252,0,0
AL,CRENSHAW COUNTY,0100960,198,0,0
AL,CULLMAN CITY,0100990,210,53,25.23809524
AL,CULLMAN COUNTY,0101020,712,181,25.42134831
AL,DALE COUNTY,0101050,240,0,0
AL,DALEVILLE CITY,0101080,85,20,23.52941176
AL,DALLAS COUNTY,0101110,267,66,24.71910112
AL,DEKALB COUNTY,0101140,563,76,13.4991119
AL,DECATUR CITY,0101170,614,163,26.54723127
AL,DEMOPOLIS CITY,0101200,193,57,29.53367876
AL,DOTHAN CITY,0101230,519,200,38.53564547
AL,ELBA CITY,0101260,43,0,0
AL,ELMORE COUNTY,0101290,853,197,23.09495897
AL,ENTERPRISE CITY,0101320,550,209,38
AL,ESCAMBIA COUNTY,0101350,347,0,0
AL,ETOWAH COUNTY,0101380,723,176,24.34301521
AL,EUFAULA CITY,0101410,200,14,7
AL,FAIRFIELD CITY,0101440,139,25,17.98561151
AL,FAYETTE COUNTY,0101470,176,0,0
AL,FLORENCE CITY,0101530,347,93,26.80115274
AL,FORT PAYNE CITY,0101560,221,26,11.76470588
AL,FRANKLIN COUNTY,0101590,273,0,0
AL,GADSDEN CITY,0101620,378,113,29.89417989
AL,GENEVA CITY,0101640,84,36,42.85714286
AL,GENEVA COUNTY,0101660,202,29,14.35643564
AL,GREENE COUNTY,0101680,94,52,55.31914894
AL,GUNTERSVILLE CITY,0101690,152,65,42.76315789
AL,HALE COUNTY,0101710,172,64,37.20930233
AL,HALEYVILLE CITY,0101720,119,41,34.45378151
AL,HARTSELLE CITY,0101730,243,116,47.73662551
AL,HENRY COUNTY,0101740,221,85,38.46153846
AL,HOMEWOOD CITY,0101760,286,278,97.2027972
AL,HOUSTON COUNTY,0101770,530,134,25.28301887
AL,HUNTSVILLE CITY,0101800,1647,670,40.68002429
AL,JACKSON COUNTY,0101830,422,0,0
AL,JACKSONVILLE CITY,0101860,128,31,24.21875
AL,JASPER CITY,0101890,203,0,0
AL,JEFFERSON COUNTY,0101920,2758,561,20.34082669
AL,LAMAR COUNTY,0101950,190,0,0
AL,LANETT CITY,0101980,37,0,0
AL,LAUDERDALE COUNTY,0102010,627,94,14.99202552
AL,LAWRENCE COUNTY,0102040,330,92,27.87878788
AL,LEE COUNTY,0102070,781,210,26.88860435
AL,LIMESTONE COUNTY,0102100,693,138,19.91341991
AL,LINDEN CITY,0102130,44,28,63.63636364
AL,LOWNDES COUNTY,0102160,125,0,0
AL,MACON COUNTY,0102190,145,34,23.44827586
AL,MADISON COUNTY,0102220,1475,424,28.74576271
AL,MARENGO COUNTY,0102250,97,7,7.216494845
AL,MARION COUNTY,0102310,274,0,0
AL,MIDFIELD CITY,0102350,102,16,15.68627451
AL,MOBILE COUNTY,0102370,4087,546,13.35943235
AL,MONROE COUNTY,0102400,294,0,0
AL,MONTGOMERY COUNTY,0102430,2279,306,13.42694164
AL,MORGAN COUNTY SCHOOLS,0102480,595,16,2.68907563
AL,MOUNTAIN BROOK CITY,0102490,364,134,36.81318681
AL,MUSCLE SHOALS CITY,0102520,241,76,31.53526971
AL,ONEONTA CITY,0102550,125,33,26.4
AL,OPELIKA CITY,0102580,321,140,43.61370717
AL,OPP CITY,0102610,106,0,0
AL,OXFORD CITY,0102635,335,76,22.68656716
AL,OZARK CITY,0102640,157,21,13.37579618
AL,PELL CITY,0102650,312,83,26.6025641
AL,PERRY COUNTY,0102670,67,0,0
AL,PHENIX CITY,0102700,449,39,8.68596882
AL,PICKENS COUNTY,0102730,206,0,0
AL,PIEDMONT CITY,0102760,83,22,26.5060241
AL,PIKE COUNTY,0102790,179,73,40.78212291
AL,RANDOLPH COUNTY,0102820,177,0,0
AL,ROANOKE CITY,0102850,118,32,27.11864407
AL,RUSSELL COUNTY,0102880,259,32,12.35521236
AL,RUSSELLVILLE CITY,0102910,209,56,26.79425837
AL,SCOTTSBORO CITY,0102940,204,21,10.29411765
AL,SELMA CITY,0102970,231,0,0
AL,SHEFFIELD CITY,0103000,68,19,27.94117647
AL,SHELBY COUNTY SCHOOL SYSTEM,0103030,1502,396,26.36484687
AL,ST CLAIR COUNTY,0103062,660,146,22.12121212
AL,SUMTER COUNTY,0103090,121,46,38.01652893
AL,SYLACAUGA CITY,0103120,149,51,34.22818792
AL,TALLADEGA CITY,0103150,136,0,0
AL,TALLADEGA COUNTY,0103180,646,174,26.93498452
AL,TALLAPOOSA COUNTY,0103210,203,27,13.30049261
AL,TALLASSEE CITY,0103240,135,82,60.74074074
AL,TARRANT CITY,0103270,81,35,43.20987654
AL,THOMASVILLE CITY,0103300,93,22,23.65591398
AL,TROY CITY,0103330,151,56,37.08609272
AL,TUSCALOOSA CITY,0103360,746,172,23.05630027
AL,TUSCALOOSA COUNTY,0103390,1403,133,9.479686386
AL,TUSCUMBIA CITY,0103420,111,0,0
AL,VESTAVIA HILLS CITY,0103430,512,289,56.4453125
AL,WALKER COUNTY,0103450,560,18,3.214285714
AL,WASHINGTON COUNTY,0103480,251,65,25.89641434
AL,WILCOX COUNTY,0103510,114,25,21.92982456
AL,WINFIELD CITY,0103540,95,18,18.94736842
AL,WINSTON COUNTY,0103580,190,31,16.31578947
AK,LOWER KUSKOKWIM SCHOOL DISTRICT,0200001,279,54,19.35483871
AK,LOWER YUKON SCHOOL DISTRICT,0200003,129,15,11.62790698
AK,YUPIIT SCHOOL DISTRICT,0200004,36,0,0
AK,KASHUNAMIUT SCHOOL DISTRICT,0200005,25,13,52
AK,ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,0200007,17,0,0
AK,BERING STRAIT SCHOOL DISTRICT,0200020,122,6,4.918032787
AK,BRISTOL BAY BOROUGH SCHOOL DISTRICT,0200030,8,4,50
AK,ALASKA GATEWAY SCHOOL DISTRICT,0200050,35,5,14.28571429
AK,CORDOVA CITY SCHOOL DISTRICT,0200060,36,22,61.11111111
AK,COPPER RIVER SCHOOL DISTRICT,0200070,39,0,0
AK,CRAIG CITY SCHOOL DISTRICT,0200090,39,6,15.38461538
AK,DELTA-GREELY SCHOOL DISTRICT,0200100,62,26,41.93548387
AK,DILLINGHAM CITY SCHOOL DISTRICT,0200120,17,7,41.17647059
AK,GALENA CITY SCHOOL DISTRICT,0200130,278,88,31.65467626
AK,KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT,0200150,163,19,11.65644172
AK,ANCHORAGE SCHOOL DISTRICT,0200180,3389,869,25.64178224
AK,JUNEAU BOROUGH SCHOOL DISTRICT,0200210,348,116,33.33333333
AK,SITKA SCHOOL DISTRICT,0200240,87,0,0
